"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TAVG","TMAX","TMIN","TSUN","WDMV"
"USC00048967","TOPANGA PTRL STATION FC6, CA US","34.0841","-118.5988","227.1","1994-05",,,"0.0",,,,,
"USR0000CPIC","PICACHO WASH CALIFORNIA, CA US","32.95","-114.7322","256.0","1994-05",,,,"76.5","88.6","64.5",,
"USC00043157","FORT BIDWELL, CA US","41.8715","-120.1574","1444.4","1994-05",,"1.80","0.0","55.2","68.4","41.9",,
"USC00043038","FIDDLETOWN DEXTER RANCH, CA US","38.5251","-120.69817","661.4","1994-05",,"1.96","0.0",,,,,
"USR0000CLAB","LOS BANOS CALIFORNIA, CA US","37.0547","-121.0531","106.7","1994-05",,,,"66.3","77.2","55.5",,
"USC00045218","LYTLE CREEK RANGER STATION, CA US","34.23833","-117.47083","832.1","1994-05",,"0.31","0.0",,,,,
"USC00048606","STRAWBERRY VALLEY 2, CA US","39.53194","-121.1611","1130.8","1994-05",,"3.14","0.0","54.3","65.8","42.8",,
"USR0000CESP","ESPERANZA CALIFORNIA, CA US","38.2428","-120.515","780.0","1994-05",,,,"58.5","71.4","45.6",,
"USR0000CCOL","COLLINS BALDY CALIFORNIA, CA US","41.775","-122.9503","1674.3","1994-05",,,,"51.3","61.8","40.7",,
"USC00046663","PALOS VERDES ES FC43D, CA US","33.7997","-118.391","67.1","1994-05",,"0.07","0.0",,,,,
"USR0000CCOR","CORRALITOS CALIFORNIA, CA US","36.9911","-121.7978","137.2","1994-05",,,,"59.4","71.7","47.1",,
"USC00047874","SAN PASQUAL ANIMAL PARK, CA US","33.0955","-116.9975","128.0","1994-05",,"0.35","0.0",,,"53.6",,
"USR0000CCOO","COOSKIE MOUNTAIN CALIFORNIA, CA US","40.2569","-124.2661","899.2","1994-05",,,,"50.6","58.2","43.0",,
"USR0000CSNR","SANTA RITA CALIFORNIA, CA US","36.3478","-120.5978","1524.0","1994-05",,,,"55.0","63.0","47.0",,
"USS0020H06S","CEDAR PASS, CA US","41.58","-120.3","2142.7","1994-05",,"5.40",,"45.8","56.2","35.4",,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","1994-05","7.6","0.08","0.0","62.0","67.7","56.2",,
"USR0000CCOH","COHASSET CALIFORNIA, CA US","39.8717","-121.7689","528.2","1994-05",,,,"64.0","73.8","54.1",,
"USW00023179","NEEDLES AIRPORT, CA US","34.76783","-114.61842","270.6","1994-05",,"0.15","0.0","80.1","93.7","66.6",,
"USS0019L40S","MONITOR PASS, CA US","38.67","-119.61","2532.9","1994-05",,"2.20",,"44.8","56.7","32.8",,
"USR0000CBLT","BEN BOLT CALIFORNIA, CA US","38.5908","-120.9336","275.8","1994-05",,,,"61.9","75.6","48.1",,
"USC00046657","PALOMAR MOUNTAIN OBSERVATORY, CA US","33.378","-116.84","1691.6","1994-05",,"0.24","0.0","55.7","65.3","46.2",,
"USC00046896","PINE FLAT DAM, CA US","36.821","-119.3374","187.5","1994-05",,"1.19","0.0",,,,,
"USC00045449","MCCLOUD, CA US","41.25171","-122.13827","985.4","1994-05",,"2.96","0.0","56.4","70.4","42.3",,
"USC00048839","TEJON RANCHO, CA US","35.0233","-118.7497","434.3","1994-05",,"0.84","0.0","63.8","80.4","47.1",,
"USC00047749","SAN DIMAS FIRE FC 95, CA US","34.1052","-117.8019","292.0","1994-05",,"0.40","0.0",,,,,
"USC00041080","BRIDGEVILLE 4 NNW, CA US","40.51944","-123.82167","640.1","1994-05",,"2.60","0.0",,,,,
"USC00043261","FRIANT GOVERNMENT CAMP, CA US","36.99574","-119.70691","131.1","1994-05",,"0.97","0.0","65.8","81.6","50.1",,"1342.8"
"USC00042294","DAVIS 2 WSW EXPERIMENTAL FARM, CA US","38.5349","-121.7761","18.3","1994-05",,"1.25","0.0","64.5","79.1","50.0",,"2994.4"
"USC00046773","PEARBLOSSOM, CA US","34.5025","-117.8969","945.2","1994-05",,"0.00","0.0","66.5","81.2","51.9",,
"USC00043384","GEORGETOWN RANGER STATION, CA US","38.933","-120.8008","914.7","1994-05",,"2.43","0.0","60.1","70.9","49.3",,
"USC00046650","PALOMA, CA US","36.35028","-121.54","541.0","1994-05",,"1.83","0.0",,,,,
"USC00044232","INDEPENDENCE, CA US","36.798","-118.2036","1204.0","1994-05",,"0.35","0.0","66.4","82.1","50.7",,
"USW00023161","BARSTOW DAGGETT AIRPORT, CA US","34.85371","-116.78702","584.8","1994-05","12.3","0.00","0.0","73.3","88.8","57.8",,
"USR0000CBLD","BLUE DOOR CALIFORNIA, CA US","41.0547","-120.3375","1711.5","1994-05",,,,"50.3","62.6","38.0",,
"USR0000CMAR","MARIPOSA GROVE CALIFORNIA, CA US","37.5128","-119.6047","1950.7","1994-05",,,,"51.4","61.7","41.1",,
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","1994-05","6.9","1.41","0.0","67.5","80.5","54.4","23880",
"USC00043134","FORESTHILL RANGER STATION, CA US","39.01","-120.8455","919.0","1994-05",,"2.30","0.0",,,,,
"USC00046646","PALO ALTO, CA US","37.4436","-122.1402","7.6","1994-05",,"1.40","0.0","55.2","65.5","44.9",,
"USC00048702","SUSANVILLE 2 SW, CA US","40.4167","-120.6631","1283.8","1994-05",,"1.83","0.0","54.1","72.0","36.2",,
"USC00043498","GOLDSTONE ECHO NUMBER 2, CA US","35.2813","-116.7844","899.2","1994-05",,"0.02","0.0",,,,,
"USC00044223","IMPERIAL, CA US","32.8488","-115.5666","-19.5","1994-05",,"0.72","0.0","75.9","91.8","60.0",,
"USR0000CROD","RODEO VALLEY, CA US","39.6681","-123.3211","740.1","1994-05",,,,"57.0","69.1","44.9",,
"USC00041072","BRIDGEPORT, CA US","38.2575","-119.2286","1972.1","1994-05",,"1.85","5.0","53.4","71.5","35.4",,
"USC00045679","MINERAL, CA US","40.3458","-121.6091","1485.9","1994-05",,"3.13","0.0","49.1","62.4","35.7",,
"USC00048826","TEHACHAPI, CA US","35.13333","-118.45","1224.4","1994-05",,"0.61","0.0","57.1","68.2","46.0",,
"USR0000CBOO","BOONVILLE CALIFORNIA, CA US","38.9875","-123.3486","196.3","1994-05",,,,"58.8","71.1","46.5",,
"USC00043491","GOLD RUN 4 SW, CA US","39.15014","-120.90026","981.5","1994-05",,"1.76",,,,,,
"USC00045790","MONTEBELLO, CA US","34.0191","-118.1052","75.0","1994-05",,"0.40","0.0","65.4","74.7","56.1",,
"USC00041194","BURBANK VALLEY PUMP PLANT, CA US","34.1866","-118.348","199.6","1994-05",,"0.23","0.0","63.3","73.1","53.5",,
"USC00047851","SAN LUIS OBISPO POLY, CA US","35.3056","-120.6619","93.9","1994-05",,"0.86","0.0","58.5","69.4","47.6",,
"USR0000CBOR","BORON CALIFORNIA, CA US","35.0767","-117.585","881.8","1994-05",,,,"66.6","80.9","52.3",,
"USC00047731","SAN CLEMENTE DAM, CA US","36.4375","-121.7092","182.9","1994-05",,"1.06","0.0",,,,,
"USC00046521","OROVILLE, CA US","39.5177","-121.553","52.1","1994-05",,"1.29","0.0","67.1","80.9","53.2",,
"USC00045311","MANZANITA LAKE, CA US","40.5411","-121.5766","1752.6","1994-05",,"4.35","7.0","48.7","61.5","36.0",,
"USC00045795","MONTEREY, CA US","36.5927","-121.8555","37.2","1994-05",,"0.85","0.0","56.2","63.2","49.3",,
"USW00024283","ARCATA EUREKA AIRPORT, CA US","40.97844","-124.10479","64.5","1994-05","7.4",,,"52.7","59.6","45.8",,
"USS0020K31S","CSS LAB, CA US","39.33","-120.37","2089.4","1994-05",,"2.19",,"45.7","57.4","33.9",,
"USR0000CBOG","BOGARD RANGER STATION CALIFORNIA, CA US","40.5981","-121.0831","1722.1","1994-05",,,,"48.5","63.6","33.4",,
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","33.63166","-116.16412","-36.0","1994-05",,"0.00","0.0","76.5","93.0","59.9",,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","1994-05","6.5","0.26","0.0","58.4","68.1","48.8",,
"USC00047723","SAN BERNARDINO F S 226, CA US","34.13444","-117.25389","347.5","1994-05",,"0.65","0.0",,,"53.5",,
"USC00047965","SANTA ROSA, CA US","38.45579","-122.71335","50.6","1994-05",,"0.89","0.0","60.5","71.5","49.5",,
"USC00046635","PALM SPRINGS, CA US","33.8275","-116.5097","129.5","1994-05",,"0.00","0.0","77.1","91.8","62.4",,
"USC00043489","GOLD ROCK RANCH, CA US","32.88333","-114.86667","147.8","1994-05",,"0.24","0.0","77.6","93.1","62.1",,
"USC00044577","KLAMATH, CA US","41.57861","-124.07472","8.5","1994-05",,"3.42","0.0","53.9","60.6","47.1",,
"USC00043369","GEM LAKE, CA US","37.7519","-119.1402","2734.1","1994-05",,"1.64","0.0",,,,,
"USC00047846","SAN LUIS DAM, CA US","37.05333","-121.05778","84.4","1994-05",,"0.90","0.0","64.7","76.4","53.0",,"6020.5"
"USC00044211","IDYLLWILD FIRE DEPARTMENT, CA US","33.7572","-116.7066","1639.8","1994-05",,"0.15","0.0","52.2","67.4","37.1",,
"USR0000CTRA","LAS TRAMPAS CALIFORNIA, CA US","37.8339","-122.0669","536.4","1994-05",,,,"55.6","63.8","47.3",,
"USR0000CALD","ALDER SPRINGS CALIFORNIA, CA US","39.6514","-122.7236","1310.6","1994-05",,,,"55.5","64.3","46.6",,
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1994-05",,"3.09",,"43.0","51.4","34.6",,
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","36.77999","-119.72016","101.9","1994-05","8.1","1.30","0.0","68.4","81.2","55.7","23026",
"USR0000CLAP","LA PANZA CALIFORNIA, CA US","35.3811","-120.1875","496.8","1994-05",,,,"59.5","77.9","41.2",,
"USR0000CSOM","SOMES BAR CALIFORNIA, CA US","41.39","-123.4958","280.4","1994-05",,,,"62.3","76.9","47.7",,
"USR0000CSOL","SOLDIER MOUNTAIN CALIFORNIA, CA US","40.9258","-121.5856","1130.8","1994-05",,,,"57.6","67.8","47.5",,
"USW00023188","SAN DIEGO INTERNATIONAL AIRPORT, CA US","32.7336","-117.1831","4.6","1994-05","6.9","0.07","0.0","62.1","66.5","57.7","10523",
"USW00023187","SANDBERG, CA US","34.74361","-118.72528","1374.6","1994-05",,"0.73","0.0","59.3","69.9","48.8",,
"USR0000CLAH","LA HONDA CALIFORNIA, CA US","37.3053","-122.255","265.8","1994-05",,,,"54.3","63.0","45.5",,
"USR0000CPIL","PILOT HILL CALIFORNIA, CA US","38.8325","-121.0086","365.8","1994-05",,,,"61.5","74.4","48.7",,
"USC00046624","PALMDALE, CA US","34.5883","-118.0938","796.1","1994-05",,"0.35","0.0","67.2","83.2","51.1",,
"USC00045532","MERCED, CA US","37.2888","-120.5158","46.9","1994-05",,"1.38","0.0","66.8","81.7","51.9",,
"USC00043357","GASQUET RANGER STATION, CA US","41.84587","-123.96704","118.0","1994-05",,"4.23","0.0",,,,,
"USC00042147","CRESCENT CITY, CA US","41.7958","-124.2147","13.1","1994-05",,"4.11","0.0","54.6","60.3","48.8",,
